|0|1|2
1|จ.กรุงเทพมหานคร|พญาไท|สามเสนใน
2|จ.กรุงเทพมหานคร|พญาไท|สามเสนใน
3|จ.กรุงเทพมหานคร|ถนนราชดำเนินกลาง|อาคาร.ง
4|จ.เชียงใหม่|อ.เมือง|ต.ช้างม่อย
5|จ.นครสวรรค์|อ.เมือง|ถ.เวสสุวรรณ
6|จ.นครราชสีมา|อ.เมือง|ต.ในเมือง
7|จ.สุราษฎร์ธานี|อ.เมือง|ถ.หน้าเมือง
8|จ.สงขลา|อ.เมือง|ต.บ่อยาง
9|จ.จันทบุรี|อ.เมือง|ถ.ประชานิยม
10|จ.อุบลราชธานี|อ.เมือง|ต.ในเมือง
11|จ.มหาสารคาม|อ.เมือง|ต.ตลาด
12|จ.อุดรธานี|อ.เมือง|ถ.หมากแข้ง
13|จ.ขอนแก่น|อ.เมือง|ต.ในเมือง
14|จ.ลำปาง|อ.เมือง|ต.สวนดอก
15|จ.ชลบุรี|อ.เมือง|ถ.วชิรปราการ
16|จ.พระนครศรีอยุธยา|อ.พระนครศรีอยุธยา|ต.หัวรอ
17|จ.เพชรบุรี|อ.เมือง|ต.ไร่ส้ม
18|จ.ฉะเชิงเทรา|อ.เมือง|ถ.สันติราษฎร์
19|จ.พิษณุโลก|อ.เมือง|ต.ในเมือง
20|จ.ชุมพร|อ.เมือง|ถ.ศาลาแดง
21|จ.ภูเก็ต|อ.เมือง|ถ.พังงา
22|จ.ตรัง|อ.เมือง|6
23|จ.นครศรีธรรมราช|อ.ทุ่งสง|ถ.หลังสถานีรถไฟ
24|จ.นครศรีธรรมราช|อ.เมือง|ถ.ยมราช
25|จ.ยะลา|อ.เมือง|ถ.สิโรรส-กรุงแสง
26|จ.สงขลา|อ.หาดใหญ่|ถ.นิพัทธ์อุทิศ1
27|จ.อุตรดิตถ์|อ.เมือง|ต.ท่าอิฐ
28|จ.แพร่|อ.เมือง|ถ.เจริญเมือง
29|จ.ลพบุรี|อ.เมือง|ต.ท่าหิน
30|จ.ชัยนาท|อ.เมือง|ต.ในเมือง
31|จ.เชียงใหม่|อ.เมือง|ต.สุเทพ
32|จ.กรุงเทพมหานคร|เขตบางกะปิ|ถ.หัวหมาก
33|จ.กรุงเทพมหานคร|เขตปทุมวัน|แขวงรองเมือง
34|จ.กรุงเทพมหานคร|เขตบางรัก|แขวงสุริวงศ์
35|จ.กรุงเทพมหานคร|เขตดอนเมือง|ถ.เชิดวุฒากาศ
36|จ.สมุทรสาคร|อ.เมือง|ถ.สุคนธวิท
37|จ.สมุทรสงคราม|อ.เมือง|ต.ไกรชนะ
38|จ.กรุงเทพมหานคร|เขตราชเทวี|แขวงมักกะสัน
39|จ.กรุงเทพมหานคร|เขตมีนบุรี|ถ.สีหบุรานุกิจ
40|จ.นนทบุรี|อ.เมือง|ถ.ประชาราษฎร์
41|จ.นครปฐม|อ.เมืองนครปฐม|ต.พระปฐมเจดีย์
42|จ.ราชบุรี|อ.บ้านโป่ง|ถ.แสงชูโต
43|จ.กรุงเทพมหานคร|เขตดุสิต|ถ.นครไชยศรี
44|จ.กรุงเทพมหานคร|เขตปทุมวัน|แขวงวังใหม่
45|จ.สมุทรปราการ|อ.พระประแดง|ถ.ศรีเขื่อนขันธ์
46|จ.ชลบุรี|อ.ศรีราชา|ต.ศรีราชา
47|จ.ระยอง|อ.เมือง|ถ.ตากสินมหาราช
48|จ.กรุงเทพมหานคร|เขตคลองเตย|แขวงคลองเตย
49|จ.กรุงเทพมหานคร|เขตคลองเตย|แขวงพระโขนง
50|จ.กรุงเทพมหานคร|เขตธนบุรี|ถ.เทอดไทย
51|จ.ราชบุรี|อ.เมือง|ต.หน้าเมือง
52|จ.สระบุรี|อ.เมือง|ต.ปากเพรียว
53|จ.สมุทรปราการ|อ.เมือง|(เชิงสะพานสำโรง)
54|จ.สมุทรปราการ|อ.เมือง|ถ.ศรีสมุทร
55|จ.กรุงเทพมหานคร|เขตธบุรี|ถ.สมเด็จพระเจ้าตากสิน
56|จ.สุโขทัย|อ.สวรรคโลก|ถ.จรดวิถีถ่อง
57|จ.เชียงราย|อ.เมือง|ต.เวียง
58|จ.กรุงเทพมหานคร|แขวงพระบรมมหาราชวัง|ถ.หน้าพระลาน
59|จ.กรุงเทพมหานคร|เขตบางกอกน้อย|ถนนพรานนก
60|จ.ปทุมธานี|ต.ประชาธิปัตย์|ถ.รังสิต-ปทุมธานี
61|จ.นครราชสีมา|อ.ปากช่อง|ถ.มิตรภาพ
62|จ.ขอนแก่น|อ.บ้านไผ่|ต.ในเมือง
63|จ.หนองคาย|อ.เมือง|ถ.มีชัย
64|จ.กรุงเทพมหานคร|เขตจตุจักร|แขวงลาดยาว
65|จ.ร้อยเอ็ด|อ.เมือง|ต.ในเมือง
66|จ.ตราด|อ.เมือง|ถ.สุขุมวิท
67|จ.ตาก|อ.เมือง|ต.หนองหลวง
68|จ.เชียงใหม่|อ.ฝาง|ต.เวียง
69|จ.ระนอง|อ.เมือง|ถ.เรืองราษฎร์
70|จ.พังงา|อ.เมือง|ถ.เพชรเกษม
71|จ.กรุงเทพมหานคร|เขตพระนคร|ถ.สามเสน
72|จ.กรุงเทพมหานคร|เขตดินแดง|แขวงดินแดง
73|จ.กรุงเทพมหานคร|เขตราชเทวี|แขวงราชเทวี
74|จ.กรุงเทพมหานคร|เขตลาดกระบัง|ถ.อ่อนนุช-ลาดกระบัง
75|จ.ยะลา|อ.บันนังสตา|ถ.สุขยางค์
76|จ.ปทุมธานี|อ.เมือง|ถ.ปทุมสัมพันธ์
77|จ.สุพรรณบุรี|อ.เมือง|ต.ที่พี่เลี้ยง
78|จ.ประจวบคีรีขันธ์|อ.เมือง|ถนนก้องเกียรติ
79|จ.กาญจนบุรี|อ.เมือง|ถนนหลักเมือง
80|จ.อ่างทอง|เมือง|ถ.เทศบาล10
81|จ.สิงห์บุรี|อ.เมือง|ต.บางพุทรา
82|จ.ปราจีนบุรี|อ.เมือง|ต.หน้าเมือง
83|จ.นครนายก|อ.เมือง|ถ.ศรีเมือง
84|จ.สุโขทัย|อ.เมือง|ต.ธานี
85|จ.เพชรบูรณ์|อ.เมือง|ต.ในเมือง
86|จ.กำแพงเพชร|อ.เมือง|ต.ในเมือง
87|จ.พิจิตร|อ.เมือง|ต.ในเมือง
88|จ.อุทัยธานี|อ.เมือง|ต.อุทัยใหม่
89|จ.ลำพูน|อ.เมือง|ต.ในเมือง
90|จ.พะเยา|อ.เมือง|ถ.ท่ากว๊าน
91|จ.แม่ฮ่องสอน|อ.เมือง|ต.จองคำ
92|จ.น่าน|อ.เมือง|ต.ในเวียง
93|จ.ยโสธร|อ.เมือง|ต.ในเมือง
94|จ.สุรินทร์|อ.เมือง|ต.ในเมือง
95|จ.ชัยภูมิ|อ.เมือง|ต.ในเมือง
96|จ.ศรีสะเกษ|อ.เมือง|ต.ในเมือง
97|จ.บุรีรัมย์|อ.เมือง|ต.ในเมือง
98|จ.สกลนคร|อ.เมือง|ต.ธาตุเชิงชุม
99|จ.นครพนม|อ.เมือง|ถ.เฟื่องนคร
100|จ.เลย|อ.เมือง|ถ.เจริญรัฐ
101|จ.กาฬสินธุ์|อ.เมือง|ต.กาฬสินธุ์
102|จ.พัทลุง|อ.เมือง|ถ.นิวาส
103|จ.สตูล|อ.เมือง|ถนนบุรีจานิช
104|จ.ปัตตานี|อ.เมือง|ถนนยะรัง
105|จ.นราธิวาส|อ.เมือง|ถ.พิชิตบำรุง
106|จ.กระบี่|อ.เมือง|ถ.อุดรกิจ
107|จ.กรุงเทพมหานคร|เขตจตุจักร|แขวงลาดยาว
108|จ.กรุงเทพมหานคร|เขตดุสิต|แขวงจิตรลดา
109|จ.กรุงเทพมหานคร|แขวงราชบพิตร|ถ.อัษฎางค์
110|จ.กรุงเทพมหานคร|เขตจตุจักร|แขวงลาดยาว
111|จ.ลำปาง|อ.เกาะคา|ต.ศาลา
