|0|1|2
2|จังหวัดตราด|อำเภอเกาะช้าง|ตำบลเกาะช้าง
3|จังหวัดชลบุรี|อำเภอเกาะจันทร์|ตำบลท่าบุญมี
4|จังหวัดเพชรบูรณ์|อำเภอเขาค้อ|ตำบลเขาค้อ
5|จังหวัดหนองบัวลำภู|อำเภอสุวรรณคูหา|ตำบลบ้านโคก
6|จังหวัดลำพูน|อำเภอเมืองลำพูน|ตำบลป่าสัก
7|จังหวัดนครราชสีมา|อำเภอครบุรี|ตำบลเฉลียง
8|จังหวัดกรุงเทพมหานคร|เขตพระโขนง|แขวงบางจาก
9|จังหวัดสุพรรณบุรี|อำเภอศรีประจันต์|ตำบลวังน้ำซับ
10|จังหวัดปทุมธานี|อำเภอคลองหลวง|ตำบลคลองสอง
11|จังหวัดกาญจนบุรี|อำเภอทองผาภูมิ|ตำบลท่าขนุน
12|จังหวัดสกลนคร|อำเภอเมืองสกลนคร|ตำบลธาตุเชิงชุม
13|จังหวัดชัยนาท|อำเภอเมืองชัยนาท|ตำบลนางลือ
14|จังหวัดมหาสารคาม|อำเภอนาดูน|ตำบลนาดูน
15|จังหวัดชัยภูมิ|อำเภอเมืองชัยภูมิ|ตำบลนาฝาย
16|จังหวัดสุรินทร์|อำเภอบัวเชด|ตำบลบัวเชด
17|จังหวัดพระนครศรีอยุธยา|อำเภอบางซ้าย|ตำบลบางซ้าย
18|จังหวัดพระนครศรีอยุธยา|อำเภอบางบาล|ตำบลมหาพราหมณ์
19|จังหวัดขอนแก่น|อำเภอเมืองขอนแก่น|ตำบลบ้านทุ่ม
20|จังหวัดอุดรธานี|อำเภอกุดจับ|ตำบลปะโค
21|จังหวัดระนอง|อำเภอกระบุรี|ตำบลปากจั่น
22|จังหวัดแม่ฮ่องสอน|อำเภอปางมะผ้า|ตำบลสบป่อง
23|จังหวัดตาก|อำเภอแม่สอด|ตำบลแม่ตาว
24|จังหวัดพะเยา|อำเภอเชียงคำ|ตำบลเวียง
25|จังหวัดชลบุรี|อำเภอบางละมุง|ตำบลนาเกลือ
26|จังหวัดนครปฐม|อำเภอพุทธมณฑล|ตำบลศาลายา
27|จังหวัดสุรินทร์|อำเภอชุมพลบุรี|ตำบลไพรขลา
28|จังหวัดจันทบุรี|อำเภอมะขาม|ตำบลมะขาม
29|จังหวัดนครศรีธรรมราช|อำเภอชะอวด|ตำบลเกาะขันธ์
30|จังหวัดนครศรีธรรมราช|อำเภอร่อนพิบูลย์|ตำบลร่อนพิบูลย์
31|จังหวัดสระบุรี|อำเภอมวกเหล็ก|ตำบลลำพญากลาง
32|จ.สระแก้ว|อ.คลองหาด|ต.คลองหาด
33|จ.ชุมพร|อ.ปะทิว|ต.บางสน
34|จ.น่าน|อ.ภูเพียง|ต.ม่วงติ๊ด
35|จ.เพชรบูรณ์|อ.หล่มเก่า|ต.นาซำ
36|จ.สุโขทัย|อ.กงไกรลาศ|ต.บ้านกร่าง
37|จ.พัทลุง|อำเภอกงหรา|ตำบลคลองทรายขาว
38|จ.ปราจีนบุรี|อ.กบินทร์บุรี|ต.เมืองเก่า
39|จ.กาฬสินธุ์|อ.กมลาไสย|ต.กมลาไสย
40|จ.สมุทรสาคร|อ.กระทุ่มแบน|ต.คลองมะเดื่อ
41|จ.ขอนแก่น|อ.กระนวน|ต.หนองโก
42|จ.กระบี่|อ.เมือง|ถนนอุตรกิจ
43|จ.ระนอง|อ.กระบุรี|ต.น้ำจืด
44|จ.บุรีรัมย์|อ.กระสัง|ต.กระสัง
45|จ.สงขลา|อ.กระแสสินธุ์|ต.กระแสสินธุ์
46|สุราษฎร์ธานี|กาญจนดิษฐ์|กรูด
47|จ.พังงา|อ.กะปง|ต.ท่านา
48|จ.ระนอง|อ.กะเปอร์|ต.กะเปอร์
49|จ.ตรัง|อ.กันตัง|ต.กันตัง
50|จ.ศรีสะเกษ|อ.กันทรลักษ์|ต.น้ำอ้อม
51|จ.มหาสารคาม|อ.กันทรวิชัย|ต.โคกพระ
52|จ.ศรีสะเกษ|อ.กันทรารมย์|ต.ดูน
53|จ.สุราษฎร์ธานี|อ.กาญจนดิษฐ์|ต.กะแดะ
