|0|1|2
2|จังหวัดขอนแก่น|อำเภอเมืองขอนแก่น|ตำบลในเมือง
3|จังหวัดสงขลา|อำเภอจะนะ|ตำบลบ้านนา
4|จังหวัดปัตตานี|อำเภอเมืองปัตตานี|ตำบลจะบังติกอ
5|จังหวัดชุมพร|อำเภอเมืองชุมพร|ตำบลท่าตะเภา
6|จังหวัดเชียงราย|อำเภอเมืองเชียงราย|ตำบลเวียง
7|จังหวัดเชียงใหม่|อำเภอเมืองเชียงใหม่|ตำบลช้างคลาน
8|จังหวัดกรุงเทพมหานคร|เขตบางคอแหลม|แขวงบางคอแหลม
9|จังหวัดนราธิวาส|อำเภอเมืองนราธิวาส|ตำบลบางนาค
10|จังหวัดนครราชสีมา|อำเภอเมืองนครราชสีมา|ตำบลในเมือง
11|จังหวัดปทุมธานี|อำเภอเมืองปทุมธานี|ตำบลบางปรอก
12|จังหวัดชลบุรี|อำเภอบางละมุง|ตำบลหนองปรือ
13|จังหวัดเพชรบุรี|อำเภอเมืองเพชรบุรี|ตำบลท่าราบ
14|จังหวัดกรุงเทพมหานคร|เขตมีนบุรี|แขวงมีนบุรี
15|จังหวัดยะลา|อำเภอเมืองยะลา|ตำบลสะเตง
16|จังหวัดกรุงเทพมหานคร|เขตสวนหลวง|แขวงสวนหลวง
17|จังหวัดสงขลา|อำเภอเมืองสงขลา|ตำบลเขารูปช้าง
18|จังหวัดสตูล|อำเภอเมืองสตูล|ตำบลคลองขุด
19|จังหวัดกรุงเทพมหานคร|เขตบางเขน|แขวงอนุสาวรีย์
20|จ.กระบี่|อ.เมืองกระบี่|ต.ปากน้ำ
21|จ.กาญจนบุรี|อำเภอเมือง|ตำบลบ้านเหนือ
22|จ.กาฬสินธุ์|อำเภอเมือง|ตำบลกาฬสินธุ์
23|จ.สุราษฎร์ธานี|อ.เกาะสมุย|ต.เกาะสมุย
24|จ.กรุงเทพมหานคร|เขตสวนหลวง|แขวงสวนหลวง
25|จ.ปัตตานี|อ.โคกโพธิ์|ต.โคกโพธิ์
26|จ.จันทบุรี|อำเภอเมือง|ตำบลตลาด
27|จ.ฉะเชิงเทรา|อ.เมือง|ต.หน้าเมือง
28|จ.ภูเก็ต|อ.เมือง|ต.วิชิต
29|จ.กรุงเทพมหานคร|เขตยานนาวา|แขวงช่องนนทรี
30|จ.นนทบุรี|อ.เมือง|ต.บางกระสอ
31|จ.สุราษฎร์ธานี|อำเภอเมือง|ตำบลวัดประดู่
32|จ.เชียงใหม่|อ.เมือง|ต.หายยา
33|จ.กรุงเทพมหานคร|เขตสวนหลวง|แขวงสวนหลวง
34|จ.กรุงเทพมหานคร|เขตบางกะปิ|แขวงคลองจั่น
35|จ.กรุงเทพมหานคร|เขตบางแค|แขวงบางแคเหนือ
36|จ.ตรัง|อ.เมือง|ต.ทับเที่ยง
37|จ.นราธิวาส|อ.ระแงะ|ต.ตันหยงมัส
38|จ.ตาก|อ.เมือง|ต.หนองหลวง
39|จ.นราธิวาส|อ.ตากใบ|ต.เจ๊ะเห
40|จ.สุราษฎร์ธานี|อ.เมือง|ต.ตลาด
41|จ.เชียงใหม่|อ.เมือง|ต.ศรีภูมิ
42|สมุทรปราการ|บางเสาธง|บางเสาธง
43|จ.สงขลา|อ.หาดใหญ่|ต.หาดใหญ่
44|จ.ยะลา|อ.เมืองยะลา|ต.สะเตง
45|จ.กรุงเทพมหานคร|เขตบางกะปิ|แขวงหัวหมาก
46|จ.กรุงเทพมหานคร|เขตมีนบุรี|แขวงมีนบุรี
47|จ.กรุงเทพมหานคร|เขตบึงกุ่ม|แขวงคลองกุ่ม
48|จ.กรุงเทพมหานคร|เขตวังทองหลาง|แขวงพลับพลา
49|จ.กรุงเทพมหานคร|เขตทุ่งครุ|แขวงทุ่งครุ
